request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_181,132.86,not_affordable,not_recommended,none,,none,"Do not make this payment by 07 April 2024. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.0,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,24917911.1,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9313546.67, starting 2026-04-10. This leaves at least IDR 11,878,300 available."
request_184,16727.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the INR 110,800 minimum protected."
request_185,289.12,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the EUR 1,300 minimum protected."
request_186,6999.78,affordable_later,wait,2026-02-15:26554.0,2026-02-15,none,"Pay ZAR 26,554 in full on 2026-02-15. Paying earlier would take the balance below the ZAR 22,000 minimum."
request_187,36573.64,affordable_later,wait,2024-11-15:187500.0,2024-11-15,none,"Pay INR 187,500 in full on 2024-11-15. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 04 March 2025. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,395.48,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 February 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,307.98,affordable_later,wait,2026-05-05:2046.0,2026-05-05,none,"Pay USD 2,046 in full on 2026-05-05. Paying earlier would take the balance below the USD 1,000 minimum."
request_193,0.0,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,,reduce_to:event_17837:34.5|stop:event_17768|stop:event_17767,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1,000 available."
request_194,32023.72,affordable_later,wait,2025-10-15:132800.0,2025-10-15,none,"Pay INR 132,800 in full on 2025-10-15. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,1060.31,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. This leaves at least EUR 700 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,49388285.5,affordable_with_plan,partial_payment,2025-11-05:49388285.55|2026-01-15:1550714.45,2026-01-15,none,"Pay IDR 49388285.55 today and the remaining IDR 1550714.45 on 2026-01-15. This completes the full request and keeps the IDR 26,245,900 minimum protected."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.0,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 2024-09-07. This leaves at least IDR 25,359,500 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.0,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.0,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.0,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 1,400 available."
request_204,546.29,affordable_with_plan,full_payment,2026-01-04:588.74,2026-02-15,reduce_to:event_18827:33.0|stop:event_18761,"Reduce event_18827 to 33.0 and stop event_18761, then pay EUR 588.74 today. This leaves at least EUR 1,300 available."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.0,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 900 available."
request_207,5151.14,affordable_later,wait,2026-07-15:11830.0,2026-07-15,none,"Pay ZAR 11,830 in full on 2026-07-15. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,2841210.9,affordable_later,wait,2024-06-15:4413000.0,2024-06-15,none,"Pay IDR 4,413,000 in full on 2024-06-15. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,2329.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,952.53,affordable_with_plan,partial_payment,2026-04-06:952.53|2026-04-15:407.49,2026-04-15,none,"Pay USD 952.53 today and the remaining USD 407.49 on 2026-04-15. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,243.5,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,"Pay EUR 1,788.60 in full on 2024-11-15. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,4782048.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 2026-01-21. This leaves at least USD 2,100 available."
request_214,69750.0,affordable_with_plan,installments,2024-12-04:36270.0|2025-01-01:36270.0,2024-12-04,none,"Use 2 installments of INR 36270.0, starting 2024-12-04. This leaves at least INR 174,900 available."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 2025-05-09. This leaves at least ZAR 15,700 available."
request_216,529.35,affordable_later,wait,2026-08-15:3332.4,2026-08-15,none,"Pay USD 3,332.40 in full on 2026-08-15. Paying earlier would take the balance below the USD 1,800 minimum."
request_217,17783.35,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,,reduce_to:event_19979:561.44|reduce_to:event_20045:663.3|stop:event_19977,"Use 3 installments of ZAR 12889.07, starting 2024-03-19. This leaves at least ZAR 26,800 available."
request_218,25980593.4,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 2025-08-07. This leaves at least IDR 34,477,200 available."
request_219,792.55,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1,100 available."
request_220,36.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 03 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.0,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.0,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,9093636.4,affordable_with_plan,installments,2025-02-04:5370040.0|2025-03-04:5370040.0,2025-04-15,reduce_to:event_20613:501600.0|stop:event_20547|stop:event_20546,"Use 2 installments of IDR 5370040.0, starting 2025-02-04. This leaves at least IDR 22,187,600 available."
request_225,9163666.7,not_affordable,not_recommended,none,2026-09-15,none,"Do not proceed with the IDR 22,059,000 request. Although IDR 9,163,666.65 is available today, the full amount cannot be completed safely within 90 days."
request_226,148034.74,affordable_with_plan,full_payment,2024-12-03:157000.0,2025-02-15,reduce_to:event_20754:3552.0|reduce_to:event_20752:3700.0|stop:event_20753,"Reduce event_20754 to 3552.0, Reduce event_20752 to 3700.0, and stop event_20753, then pay INR 157,000 today. This leaves at least INR 209,400 available."
request_227,10216.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
request_228,858461.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,407.12,not_affordable,not_recommended,none,2024-05-15,none,"Do not proceed with the EUR 1,526.80 request. Although EUR 407.12 is available today, the full amount cannot be completed safely within 90 days."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,35503.15,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12378.08, starting 2026-01-06. This leaves at least ZAR 24,300 available."
request_232,210.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2,400 minimum protected."
request_233,3525655.7,affordable_with_plan,installments,2025-11-14:3245320.0|2025-12-15:3245320.0,2026-01-15,stop:event_21439|stop:event_21438,"Use 2 installments of IDR 3245320.0, starting 2025-11-14. This leaves at least IDR 10,365,700 available."
request_234,209.24,affordable_later,wait,2026-08-15:1213.3,2026-08-15,none,"Pay EUR 1,213.30 in full on 2026-08-15. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,6276385.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.0,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 700 available."
request_239,642.0,affordable_now,full_payment,2025-05-04:642.0,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13491.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7298026.67, starting 2024-03-17. This leaves at least IDR 19,252,000 available."
request_242,10.36,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.0,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.0,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,29968.19,affordable_later,wait,2025-11-15:128500.0,2025-11-15,none,"Pay INR 128,500 in full on 2025-11-15. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,1178.92,affordable_with_plan,partial_payment,2025-02-07:1178.92|2025-02-11:786.68,2025-02-11,none,"Pay USD 1178.92 today and the remaining USD 786.68 on 2025-02-11. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,168.75,affordable_later,wait,2026-02-15:643.2,2026-02-15,none,Pay USD 643.20 in full on 2026-02-15. Paying earlier would take the balance below the USD 600 minimum.
request_250,15007.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 January 2025. None of the available options keeps the ZAR 35,300 minimum protected."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not proceed with the EUR 1,513.60 request. Although EUR 1,513.60 is available today, the full amount cannot be completed safely within 90 days."
request_252,4227785.0,affordable_later,wait,2026-08-15:28082000.0,2026-08-15,none,"Pay IDR 28,082,000 in full on 2026-08-15. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1330.5,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,reduce_to:event_23305:45.5|stop:event_23237,"Use 3 installments of EUR 984.6, starting 2024-03-21. This leaves at least EUR 2,300 available."
request_254,744.6,affordable_later,wait,2025-09-15:3535.2,2025-09-15,none,"Pay USD 3,535.20 in full on 2025-09-15. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.0,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,145685.48,affordable_with_plan,installments,2024-06-10:75816.0|2024-07-11:75816.0|2024-08-11:75816.0,2024-08-15,reduce_to:event_23553:3490.0|stop:event_23486,"Use 3 installments of INR 75816.0, starting 2024-06-10. This leaves at least INR 168,600 available."
request_257,461.52,affordable_later,wait,2025-12-15:1352.4,2025-12-15,none,"Pay USD 1,352.40 in full on 2025-12-15. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,246.0,affordable_later,wait,2024-11-15:935.0,2024-11-15,none,Pay EUR 935 in full on 2024-11-15. Paying earlier would take the balance below the EUR 600 minimum.
request_260,8309994.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 April 2025. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000.0,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,8267.51,affordable_with_plan,partial_payment,2025-05-07:8267.51|2025-06-15:43278.49,2025-06-15,none,"Pay ZAR 8267.51 today and the remaining ZAR 43278.49 on 2025-06-15. This completes the full request and keeps the ZAR 24,100 minimum protected."
request_264,26798.21,affordable_later,wait,2026-05-15:111300.0,2026-05-15,none,"Pay INR 111,300 in full on 2026-05-15. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,744.42,not_affordable,not_recommended,none,2025-10-15,none,Do not make this payment by 03 October 2025. None of the available options keeps the EUR 900 minimum protected.
request_267,1785.48,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. This leaves at least EUR 1,500 available."
request_268,1032.17,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. This leaves at least EUR 1,400 available."
request_269,9108.18,affordable_later,wait,2026-01-15:15490.0,2026-01-15,none,"Pay ZAR 15,490 in full on 2026-01-15. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,434.32,not_affordable,not_recommended,none,2026-08-23,none,"Do not proceed with the USD 3,028.80 request. Although USD 434.32 is available today, the full amount cannot be completed safely within 90 days."
request_271,11938.84,affordable_later,wait,2024-11-15:91300.0,2024-11-15,none,"Pay INR 91,300 in full on 2024-11-15. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5787795.8,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4709466.67, starting 2025-02-12. This leaves at least IDR 7,508,600 available."
request_273,10756514.8,affordable_with_plan,partial_payment,2026-04-07:10756514.77|2026-04-15:5104485.23,2026-04-15,none,"Pay IDR 10756514.77 today and the remaining IDR 5104485.23 on 2026-04-15. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2359.73,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. This leaves at least EUR 1,800 available."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.0,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
